canonical_smiles,bioactivity_class
Nc1ncnc2c1c(-c1cccc3c1oc1ccccc13)cn2C1OC(CO)C(O)C1O,0
Nc1ncnc2c1c(-c1ccco1)cn2C1OC(CO)C(O)C1O,0
CC1OC(n2cc(-c3ccccc3)c3c(NCc4ccccc4)ncnc32)C(O)C1O,1
CNc1ncnc(C#Cc2ccc(N(C)C)cc2)c1-c1ccc(Cl)cc1,1
COc1cc(-c2cn(C3OC(CO)C(O)C3O)c3ncnc(N)c23)cc(OC)c1OC,0
CCCOC(=O)Nc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1
C=CCSc1ncnc2c1c(I)cn2C1OC(C)C(O)C1O,0
Nc1ncnc2c1c(-c1cccc3ccccc13)cn2C1OC(CO)C(O)C1O,0
CCC1(c2ccc(CSc3ccccc3)cc2)Oc2ccccc2-n2cccc2C1=O,0
Cn1ccc2c3c(Cl)ncnc3n(C3OC(CO)C(O)C3O)c21,0
OCC1OC(n2c3ccoc3c3c(-c4cc5ccccc5o4)ncnc32)C(O)C1O,0
OCC1C(O)C(O)C2(n3cc(-c4ccccc4)c4c(Nc5ccccc5)ncnc43)CC12,1
OCC1OC(n2ccc3c(-c4ccc[se]4)ncnc32)C(O)C1O,0
O=C1Nc2cc3c(c(Cc4ccccc4)c2OC1c1ccccc1)OCO3,0
Nc1ncnc2nc(-c3ccc(N4CCOCC4)nc3)cc(NCCc3c[nH]c4ccccc34)c12,1
NCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,0
Nc1ncnc2nc(-c3ccc([N+](=O)[O-])cc3)cnc12,0
CN(C)c1ccc(-c2cc(C3CCCCC3)c3c(N)ncnc3n2)cc1,0
OCC1OC(n2nc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1
CC1OC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)CC1O,1
c1ccc(CN2CCC3CN(c4ncnc5oc(-c6ccncc6)nc45)CC32)cc1,1
CCCNC(=O)CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1
OCC1OC(n2ccc3c(-c4nccs4)ncnc32)C(O)C1O,0
OC1COC(n2cc(-c3ccccc3)c3c(Nc4ccc5c(c4)OCCO5)ncnc32)C1O,1
OCC1OC(n2ccc3c(-c4c[nH]cn4)ncnc32)C(O)C1O,0
CC1OC(n2cc(-c3ccccc3)c3c(NCC(=O)N(C)C4CC4)ncnc32)C(O)C1O,0
